Id,saleprice
2340,334348.3887391406
1618,164694.2780285398
2843,164426.9402610138
1061,364833.45768067153
2786,94372.3035213739
1935,125706.01521107672
1341,124435.1757357452
521,261609.09465420537
2136,127655.12907024866
996,176529.205556364
227,152315.6049768396
135,151717.60068225645
1167,173918.58437150676
294,243365.26975892676
1776,209387.969322279
540,186351.53646202318
1717,241477.04103582574
2303,115099.276095305
116,177566.22775315557
127,130323.15304498703
1371,140016.89526538382
1014,153103.80209224785
1507,100801.2702395252
702,147636.21409051027
750,163262.10275399996
261,159166.4060037763
1559,36764.30985030293
577,265191.76441412704
2812,223492.9696122841
2080,173943.21702125433
1368,102202.08028582858
2376,108085.1956665183
659,98333.641133494
1235,120186.1437000343
332,67839.77957538121
1917,138893.6477322373
2094,258372.9906610892
1460,272242.4970281159
1471,187354.28063576706
1509,121093.87668042711
1922,117500.45262032439
433,383162.9902166595
460,316377.2933927748
1116,229928.75339605217
1137,162898.95511589263
53,180502.96624816107
2354,243309.76435993466
1475,206641.43560017954
1761,419002.6031095056
842,130877.81183096675
2739,154370.4260606087
2509,195473.43377122606
1007,219557.06769564288
2610,188158.55334910113
1952,67165.60628253398
2719,178714.3910983141
2921,86968.9463625179
1966,132197.13256066004
292,121503.183406408
1204,194966.3877416755
1829,262393.8400199282
2419,204373.71557642755
391,171112.69594404157
798,140725.62105660708
481,202190.39925793628
193,217205.22239361145
555,121657.7237612665
899,72965.30285868495
2357,202078.37154902765
328,106807.59252455448
1356,91179.85155316416
1154,123634.49707561635
1730,187692.22252204528
2249,147638.71780694596
1119,257717.3633041628
2856,129082.59236440624
1394,150378.1524926392
2587,161632.1697361306
61,346423.8440860225
2661,182315.24203052427
2711,129144.17249894685
1147,198844.6462083454
757,150961.6549961842
2623,110560.70703931384
2378,148227.78023818502
1413,150879.37675933848
1722,265492.4784685301
1112,222620.25301380234
1623,178654.6090188694
1201,202067.63904467557
1513,122323.77149672025
957,227094.3528163093
1171,249306.17240366596
1145,213846.3002764347
2726,228725.5748916793
703,142932.3632651549
760,91574.09363914668
1964,130415.99995802328
2512,208683.5482992247
159,127430.54221924389
1281,180256.81970135277
468,191541.08981472722
290,114714.50757643158
665,110639.51022308125
1463,267426.3023330421
1792,233644.0782828669
923,152155.82791828312
500,310732.8854845761
1408,103357.28519174762
331,47560.02952181667
170,120321.50664217604
2192,82369.79592233154
2571,283787.4599217813
2314,167093.44386628133
2647,79213.34589254184
422,371991.1317204768
2457,301189.8368357704
1838,216626.3352298343
2805,250592.6366936916
1645,167732.6239054226
1711,322055.8220097959
2825,263077.6781131143
322,317241.632144007
2103,248455.81785717237
342,111323.53041118046
600,98958.52841040755
488,182696.31080708327
1725,337626.28857467254
2246,259881.20910232834
2847,149151.75417119064
806,236191.13806098636
530,239669.46324252195
963,203118.904897815
2678,96447.13210132232
171,70238.41477735202
2401,368634.208706407
805,217733.27012489844
2259,213922.777916912
1748,196591.6441745946
1361,148262.2626388061
1677,116734.91540748804
1406,142250.29257181607
2322,239660.48914370494
688,180647.17984752357
143,134482.82710300744
804,211306.58596672153
1214,162133.70338908344
2828,159525.9809323007
1999,178150.47123694984
2467,219635.52717538306
2665,168856.938125442
1538,310472.38245996746
398,105585.9390830553
2822,143425.49428332743
2157,153469.96513857786
1856,216305.3680515217
1269,125491.49710698408
2570,123482.83672469335
2320,248421.08020625752
1517,135125.67559377695
2304,109280.13209945534
1312,97107.49366687462
2012,143067.31233359652
506,274202.6959139624
2865,229187.59778682332
2367,102243.33051881852
554,77692.72771036325
238,136116.74530835488
1954,104495.92798133282
2488,178497.55427183426
2291,86968.9463625179
1969,110613.8719725497
2725,156870.85926285907
1482,153469.96513857786
2763,220409.88788339833
503,290553.03003776685
1584,251191.52430407982
1531,197104.19649861095
2210,223147.97000378618
459,339703.8612138737
556,125908.48054994404
1347,154270.66641491826
1290,45424.1670803446
1388,98275.49557456483
1571,173417.48793979763
2754,208255.40118826437
765,136146.30152076285
2494,119820.87908158619
2870,213191.36335590802
7,291787.5711886737
1114,235948.87002744095
2418,260143.19622403983
291,139932.5828197099
18,364399.53174442064
39,339729.3950554149
1001,320033.99755796115
2442,233998.70507988957
616,136061.0621074491
2680,67404.20489652775
1414,137914.28898057397
289,155402.15355635132
40,291836.4598844819
860,112547.81425431553
409,118286.28529999121
673,156869.44611183018
2427,180473.85591559773
2036,191027.38855043153
2564,150260.18744346336
642,169411.11986058526
1008,189200.27563839045
1908,166623.9543909369
2519,177033.10124731652
1369,78591.13298665296
2855,178777.07292089114
712,67826.84429647378
1943,80258.24884296431
1958,132181.8800173754
107,158729.5906377868
2295,180733.45029565968
704,80584.15972050618
676,141233.36673882118
259,196428.71271375776
93,312761.3605659124
106,243458.89678436483
2315,180745.72411635812
1050,106150.2262218489
1095,201617.12768972246
2709,133730.18680925394
758,146951.29449782008
1496,156475.91240420728
2370,116734.91540748804
2458,246345.47190112926
2733,128710.15553455017
161,273316.7563787401
726,168302.45358250636
845,215438.7150845567
947,262055.5546626304
2232,95429.15388769409
2563,140864.94554770685
2299,139837.03204634425
211,109418.34694604758
605,184289.22637786335
1478,224977.60640613103
2247,261994.76329624915
2274,185857.60984904034
2869,215641.77376631493
967,247069.6772034629
2656,72304.27297853246
667,224697.59422096977
1042,107006.32255249478
2023,175229.0577219628
2447,371361.4666713096
2055,122325.65431429769
2275,277634.5398761003
2204,205075.4548754662
1563,275032.2478595445
483,255779.02021954794
796,152551.20400961023
1526,202878.95241871546
2042,150711.03217460087
442,346032.86919188965
1693,342701.41147424513
1468,227263.66872070634
1430,203119.64459597904
2605,168424.30417018995
1529,200154.12507784946
335,126302.53724902828
1287,120127.74632595052
31,98122.96020459654
1785,264405.7510399263
82,169028.09126623062
2620,158164.88815836445
252,198587.39404626124
721,47316.354318999074
2165,185308.44963493812
2316,167901.6364947712
775,138511.48438869652
1558,93571.29999952124
17,219400.9522111899
1022,230085.75549493713
925,149036.35380008843
438,315948.24332129164
1270,149841.0355299814
1272,117733.44342380212
215,149817.2825031911
266,230112.73712314878
2402,310162.83856724575
1250,138877.06669132272
1984,87583.70119495958
1279,157345.0003845861
377,243812.34068630094
1252,155429.48564219946
2156,250488.50758780428
499,322446.3322262161
1374,134951.6389236466
2898,250660.6866584431
401,105585.9390830553
2721,168249.09756116464
2078,247473.62612441368
2589,119702.7063508399
1946,249542.87437762273
1334,134088.1529862422
2781,228718.72608306736
431,369453.7191508665
576,189054.4004329142
1474,222259.75793091787
2254,139159.04105608902
2155,255063.36635999466
885,129463.34347467724
643,134060.7263920965
1944,134772.00224956402
480,208689.7481381123
2845,125264.04804982978
2387,336442.23283352226
2407,251187.5453556385
2527,171395.6019944898
2514,187683.05210094433
629,146390.41301686142
80,211688.61756055313
1876,130296.5607789183
1546,100110.18068876742
2518,213621.7004143106
2347,162153.87326206698
783,186995.21123253714
1322,24062.1142588901
194,82217.02956175247
1770,309893.0391080788
2143,131195.2430838432
1229,208067.20965012218
511,249342.20636682864
46,251175.89911066642
1348,172102.53842258395
2465,218655.3897331734
387,240736.63998605422
873,207313.07036903963
1918,99433.21595676478
2764,234413.42115222418
2184,96424.32933185427
934,139511.23727393633
1920,120136.43173885462
2631,158700.40411950802
1768,423113.2303442912
2040,109232.49474524483
1749,223174.45941838133
834,248218.23564470955
1457,239825.04401274532
79,107471.2876782761
2302,97902.38569363162
1817,129385.72415825215
2755,232940.44162727072
359,180454.85849707393
2059,108332.6365378936
2092,243284.69939326524
2516,230586.0883591281
150,103689.64782377599
1656,151700.88391296292
83,105166.753316313
2411,179538.0337973084
795,85384.96651795825
2312,233138.4674072907
2917,84093.94170352559
1624,206154.9256440609
2215,279930.9039628295
1211,143324.42925690027
1485,153469.96513857786
1024,175255.53824712706
570,191215.1403583934
2874,146036.10669027112
700,162783.80420303953
2756,219050.40809742454
2022,172380.00283113585
583,215954.9013255928
2392,358599.7334041032
2424,193138.16170068292
212,91450.10148582676
736,123940.7096692723
1610,172711.36863033762
890,119504.30557011205
467,187537.0130309084
578,274137.6455902392
1747,184265.2340289355
1149,175294.5820510975
2758,211134.27798525002
857,106513.09340313982
2219,293752.19054423185
733,95166.02529103587
2909,133538.1113604486
1798,267207.7265335736
235,107559.33376338483
2366,132343.11321784172
1027,137888.3425561784
1195,134202.4210743174
1303,-9551.94311133161
148,169114.35499187355
608,144953.4281467814
2515,215858.9179226838
821,271612.3433947839
2500,306573.64824186824
745,105690.17144521934
741,151910.42675061114
1611,145550.08628997026
2532,119029.73283237626
1081,207225.7373297709
1692,381638.13432934845
2520,177437.63734093434
276,127286.34067379328
1992,132033.28811101592
663,-29082.497596670524
418,100766.48942306737
1733,196824.52051585843
2359,139130.28816070908
253,202067.2280234654
1518,169934.29308392687
2035,165127.2716807988
2919,67839.77957538121
1540,240045.86072729912
2120,145795.83301987642
1674,200293.83525574062
256,155075.00813410565
2361,90453.90748873832
978,66689.1963089534
2280,163812.5423265735
2095,226497.16860044136
1709,339994.1597888011
2801,228772.95462439774
1246,116560.46206510771
2373,103568.04736216323
1055,310078.80119561404
2017,141826.83832901742
1099,302543.47096628917
1344,85664.38670095241
835,194905.78130240756
1117,219472.8397017009
2043,63695.00500238575
2085,121990.44974282848
410,151495.5085909724
2650,104055.11400794957
2867,193598.287105478
1668,111346.09486752382
1161,204028.27115010886
2122,182367.49484477582
2539,138690.13987641933
1047,125816.50905807561
1445,118275.26526317839
541,114836.04772076762
569,209558.82307450028
1276,141744.60521911443
918,172559.7933368295
326,170649.9044873895
1936,120491.5677162762
895,89469.05112770872
257,134016.59167140324
1241,168721.00060782346
1545,106394.03056885608
1189,173565.71590306054
270,153469.96513857786
2066,220298.77185602346
693,117117.04532471065
1259,174311.8869472697
2916,136962.0465891254
2321,247999.60280475245
1977,52335.2667788555
1895,151278.91484509496
1240,153059.23868464565
85,154245.98807994323
1823,106136.04351495705
825,254762.19298894212
110,214950.49249551215
697,135410.0938952977
2297,95496.4810240819
1231,133355.31878841322
1355,132985.7158482694
968,311525.83817370737
584,224728.3332449231
1315,107008.47758002637
1606,125093.93185724493
206,100882.74041763291
1685,340890.7888451968
2016,128657.74736501422
869,231434.71198846822
2135,121883.79840769299
2346,186131.7590902193
2430,209538.74987592775
2198,113302.08385648436
2652,106753.99271636229
27,104516.34121000761
241,177301.96330806267
906,119607.2142975729
1506,117642.95323479362
2098,309443.6394952484
1435,200107.39578555245
2213,154456.10301203292
1274,163295.32334707223
743,-6452.685319439013
1737,194643.72318443895
2797,258871.480585371
2185,69796.82518686548
58,177293.9204594575
830,203438.32005802362
808,133053.92216769978
680,157421.67036694032
1153,110210.30603641029
1291,158149.06355563615
1818,163156.86839018343
2161,212160.39069067908
1883,128674.2415501984
350,350417.1718171849
2473,130012.03061757828
295,198917.27255031368
293,197143.2301455674
859,97069.11000105942
288,67079.15439558402
1578,179342.4252628009
102,194308.04139087495
2831,206707.5492371347
1030,158350.33868224156
2551,130471.72089117594
1286,157151.59366557843
958,303365.6179681591
776,119142.9924007431
72,211523.80727664824
2263,254602.8906069931
1866,155902.67408892306
2876,40273.29617209805
2146,257463.55991862743
103,205844.77386539555
1500,159525.9809323007
492,179584.99429486587
167,136602.4464429933
2597,96947.81972441392
2685,110141.55965503692
1035,159237.80415341366
1220,55759.14403702035
2602,153712.43303191324
2159,225039.6530164781
695,157198.42100916192
1109,286922.5611679179
640,180706.78790834732
1652,156768.64578498853
2090,176997.2542042928
1188,173326.51333762112
2345,219627.59630177997
1059,369812.7833044128
2751,242740.55840412693
128,193758.97463362804
1523,174838.82362985075
2925,141756.0350116433
2145,262744.22595418186
1121,222431.57593709027
566,269584.40064600646
565,273319.9082320364
1331,143061.7142297408
2928,108997.93193716074
156,131466.1412619144
797,148298.73460865012
327,86968.9463625179
2859,180584.06615580246
1453,90844.92568041105
1762,332054.92385595385
1868,194460.92079691662
1760,176184.1580061406
1113,242967.18974506576
1812,202531.45775947455
117,165846.43884129054
1142,191374.61978248073
2342,370469.7104401103
927,147197.00104330166
2478,190515.79083549176
655,53959.62224602875
2064,124785.11367989657
369,294814.87536250503
2239,119359.0784554029
2732,221316.94736844779
1653,174981.65313324283
959,248082.73021851346
2395,342389.92254714156
1412,99154.29059682631
271,231966.69923154477
1484,153469.96513857786
1497,143595.85883507394
552,171442.44972709968
2,129724.49237382149
1855,287072.8339591237
4,239129.4362870701
2292,161492.46677376897
134,129237.2845762836
646,102986.14048419269
42,330266.2397930634
532,217365.2578816258
713,87017.03324510164
2561,128343.65083252924
2360,122208.39521507944
1333,130352.23417102947
1407,207390.97665995156
2892,269827.59139622556
574,233716.40792385733
1227,181907.37190245013
2591,227245.57029189373
1476,206904.42691029017
1125,266305.9610483403
1446,132252.1912565206
408,107225.13945468742
1101,317505.4516331469
2251,193480.72983395102
373,174142.7087733664
2554,117370.55292185242
2382,295645.47665559384
1985,66946.0802243681
519,217693.1652604494
1093,181779.87371525387
864,254279.91897095117
2889,155914.4922791966
2308,188424.18754524138
986,161662.92708762066
1302,151127.36792242667
585,157139.8597005907
2708,134432.7372985485
147,129515.96988632264
1441,211933.9179862056
383,175327.898231281
285,144537.95994567272
181,111439.07386815088
358,181796.68321037237
780,182791.16884015224
258,197727.66363743364
1865,199201.92430364678
692,118534.66449083987
2902,294606.90901899355
508,254762.2582808123
2638,127680.5202784454
36,147219.36596196398
611,172876.89385788792
2281,119543.1727800926
1678,138865.04192356628
1696,374078.81388489646
1557,40068.20988214933
2180,162493.90832349253
1726,266363.06178486475
951,125376.54340950347
267,240172.5391889618
2706,133999.25749368093
2221,210234.73401069109
1357,160545.186089846
2901,284667.57559039694
347,185833.63540060393
2164,198460.86876662337
1586,281521.2994268781
360,164705.27958662534
1769,267025.6439436393
2617,192807.60482617104
1879,156710.9950932719
991,195147.87940945162
1535,152896.4209812347
1191,153015.69622016425
1579,240094.25083473334
1882,127200.2275957744
1510,136793.58722687274
2196,152756.98395604343
1845,194308.04139087495
2336,385464.166693742
942,109798.61059452264
861,109284.48972628324
2555,108153.24101685463
1392,160252.28879690552
2099,248455.81785717237
1543,114931.66210235989
948,267831.81803868315
1239,163042.89270702566
22,190273.53390136687
2796,236212.54078236743
2747,174425.25564794126
92,318865.4104709368
210,186579.63743164434
1858,197109.20169855698
2228,144071.86080408853
447,265938.1190614785
827,223125.09424878575
1649,222709.43121117604
682,135791.63397466706
2698,117432.96068429969
494,160611.16144434837
214,115739.05794426448
2441,244182.73826855616
2679,116870.21359890615
1336,108152.65795573722
465,200110.96843107636
1524,171888.91061368122
2543,122284.44556368567
631,134005.18368120192
2452,324992.5903047699
228,161777.23827759523
126,134033.96236194277
1092,251175.89911066642
1122,220765.59596687165
932,208157.47000042713
1980,62192.08506334068
2171,101576.1158586414
551,160751.48944992997
2768,195532.057534226
2056,114541.42019545149
1159,338705.46427771496
2645,133704.9427515625
1174,204153.23888408413
2266,231488.4794577569
2462,316091.2629182616
1219,134181.1607650157
2922,179827.02694423415
118,140177.20947908022
474,178457.36540013552
2576,152061.35615863712
872,254329.34929967904
1077,267300.9800082538
1536,157605.42620355694
1150,121109.56578810445
2341,321772.97510807926
1931,149885.84277802444
2785,120210.8448326326
2538,117396.83227015499
597,198464.6430335309
464,263242.3436395978
233,241133.02153654792
2169,128977.64384768184
2123,177604.99892710624
1867,170694.42440931086
137,230453.19604416
515,222828.14062741862
933,97232.01031721037
2784,154900.78412299248
972,178706.16774770172
599,152451.43966569265
2614,131955.92660185968
2582,144320.02018028824
1409,184007.58935150155
175,92321.07866991973
352,272392.3056860373
976,79216.87440078176
2134,218162.8950717143
984,81392.85747828582
2396,338764.4214958517
1673,146646.51832843287
404,119815.43512601336
607,162951.45547201
814,160112.42671510708
868,222969.79131532556
2271,218592.14037617444
1633,309103.6001873653
337,191858.24873969427
2765,166685.26586252244
1746,215417.93029553897
368,348138.7623566507
2806,207638.40036100178
1662,177468.82045589492
1234,209339.81587804315
1373,132140.56899827463
1672,103255.47699993613
1939,115383.35858996252
